batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
812,0.00174779849789,1376,1,33,8,-0.00141816866002
871,0.005169741958461,1337,2,496,5,-0.001427075542742
637,0.002363810919425,312,9,1037,2,-0.001430008059833
429,0.00059048892521,1396,2,1077,2,-0.001450109629659
602,0.001621295820554,1270,4,295,5,-0.001452292591566
527,0.001134143793304,916,2,989,10,-0.001452668193961
878,0.007720678807493,61,1,206,6,-0.001456406830112
722,0.001568553253984,1311,7,794,10,-0.001458665434038
667,0.008792820010805,685,2,1153,1,-0.00146066018031
572,0.000971879386849,424,9,606,6,-0.00146368149668
607,0.001433480325398,1079,9,845,9,-0.001477776910178
780,0.00204587709884,1050,7,127,7,-0.001484153531492
803,0.002828975316009,875,3,1274,6,-0.001489240786759
789,0.00524167056157,203,3,357,5,-0.001501329824096
711,0.000617096180848,188,10,879,9,-0.00150279372232
762,0.003091452866696,218,6,775,7,-0.001504701138474
797,0.007844666604125,138,3,264,5,-0.001506216947455
973,0.004744917096695,814,1,1048,2,-0.001521032679593
535,0.003603605165117,791,5,971,2,-0.001522234360455
978,0.004102963151078,330,3,1229,3,-0.001546777401818
654,0.005626818544402,593,1,402,9,-0.001560247334419
484,0.000467257688144,367,7,1007,9,-0.00157018308877
895,0.002160165201559,1062,7,973,2,-0.001573694783729
881,0.00447898360508,96,6,1099,1,-0.001591029500123
430,0.003411014845481,174,2,1134,2,-0.001591813034611
415,0.00064412601927,783,5,457,1,-0.001598848949652
942,0.007109945065618,352,5,551,4,-0.001603996519698
889,0.005481625202988,580,5,575,5,-0.001613507844741
564,0.000357403875553,267,10,802,6,-0.001620589833474
809,0.001482654863728,188,2,883,7,-0.001640537509229
888,0.006008528783197,904,3,355,3,-0.001646218441892
738,0.00558601884274,331,8,994,2,-0.001662645941833
465,0.00022050149278,681,9,992,5,-0.001681185952621
974,0.001616824249313,87,6,1480,10,-0.001717690222431
599,0.008809950011404,353,2,218,7,-0.001717815157026
763,0.007870358917339,288,1,491,9,-0.001745820397045
686,0.008095982974843,83,3,1148,1,-0.001768440259621
610,0.002970678057164,260,8,1249,2,-0.00182865136303
473,0.002130597817171,601,7,394,8,-0.001834351248108
928,0.001451126422707,1231,10,1260,9,-0.001836136024212
988,0.009555286692384,659,2,957,2,-0.001856913681841
624,0.007518301495087,295,5,42,8,-0.001867738930741
681,0.003391243263952,383,9,647,6,-0.00187287703855
755,0.009744912621615,672,2,426,3,-0.001882446970558
