batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,normalize_mut,value
521.0,0.012333377176954822,1261.0,9.0,1031.0,8.0,940787.0,-9910414.0
193.0,0.003236561542869171,258.0,10.0,1375.0,6.0,562382.0,-12190.500546875
548.0,0.04561241649801063,412.0,7.0,854.0,8.0,36360.0,-65006592.0
762.0,0.009194444723955227,688.0,9.0,302.0,2.0,27189.0,-365092.46875
958.0,0.01178472364638737,32.0,10.0,1150.0,3.0,113327.0,-13076.645263671875
906.0,0.015146725307899988,1188.0,7.0,1459.0,7.0,602830.0,-8369498.0
819.0,0.006125340084139584,830.0,1.0,634.0,9.0,342035.0,-166694.890625
258.0,0.0482885745900802,214.0,5.0,454.0,9.0,521493.0,-10893776.0
155.0,0.007989613018568058,280.0,5.0,495.0,6.0,544365.0,-12568.637939453125
192.0,0.0324084062420139,22.0,8.0,1160.0,5.0,678865.0,-2439355.5
465.0,0.03826008527801786,844.0,6.0,1468.0,5.0,743420.0,-131389136.0
401.0,0.03267865191571202,813.0,5.0,380.0,2.0,699412.0,-8659990.0
987.0,0.016534782004932448,1401.0,6.0,336.0,5.0,930330.0,-35378112.0
966.0,0.016173505884226978,1270.0,8.0,888.0,5.0,624840.0,-63913104.0
959.0,0.011543008558284835,770.0,5.0,741.0,5.0,648551.0,-28059.52984375
658.0,0.010161952906428597,551.0,3.0,76.0,6.0,473044.0,-12393.194248046875
651.0,0.030557512248714017,1071.0,4.0,416.0,3.0,495928.0,-17311678.0
96.0,0.03214535923212876,333.0,9.0,780.0,3.0,368028.0,-1416987.0
478.0,0.01686416134840199,111.0,4.0,1326.0,6.0,629002.0,-5467896.5
632.0,0.024189477137129965,1034.0,1.0,1021.0,8.0,652919.0,-9120378.0
388.0,0.00947484542535002,87.0,6.0,987.0,6.0,197985.0,-203609.28125
676.0,0.009731147026066783,82.0,7.0,586.0,5.0,242233.0,-12393.592578125
794.0,0.01727998945839928,140.0,9.0,1364.0,6.0,886977.0,-2310463.0
784.0,0.006367963572913718,952.0,2.0,652.0,10.0,483596.0,-36855.60353515625
351.0,0.03589089572030999,325.0,3.0,1102.0,5.0,17001.0,-797871.925
624.0,0.016210428183251753,835.0,5.0,261.0,6.0,648598.0,-359231.30828125
854.0,0.023866434391968287,1453.0,2.0,663.0,2.0,635401.0,-22527.249033203127
431.0,0.005764618863378974,271.0,2.0,1414.0,1.0,990671.0,-9697.465654296875
974.0,0.007503613887574001,132.0,9.0,290.0,9.0,134663.0,-12401.161220703125
304.0,0.022483533374775686,1011.0,9.0,1438.0,3.0,71550.0,-15214116.0
883.0,0.04562525056069748,542.0,5.0,680.0,7.0,901752.0,-9640946.0
352.0,0.04197021204628699,671.0,8.0,1088.0,9.0,715186.0,-164066000.0
94.0,0.042551292271984675,745.0,9.0,805.0,5.0,44880.0,-1880896896.0
274.0,0.037216245729568595,680.0,5.0,75.0,2.0,97679.0,-39943712.0
306.0,0.029962552907941746,1154.0,9.0,1003.0,9.0,514284.0,-227969472.0
389.0,0.02507385465782789,40.0,5.0,984.0,4.0,407865.0,-1297511.156875
191.0,0.018218792785935856,278.0,1.0,21.0,2.0,246315.0,-4811.9201953125
916.0,0.01869487207993515,694.0,10.0,946.0,2.0,124638.0,-2558304.75
871.0,0.027988494796861916,596.0,6.0,860.0,2.0,235305.0,-4836836.0
676.0,0.029032299965197298,947.0,2.0,461.0,8.0,890623.0,-2758861.5
693.0,0.013140401639381006,263.0,9.0,496.0,4.0,700900.0,-87773.7890625
66.0,0.007953769208296668,1058.0,6.0,201.0,2.0,868402.0,-588245.6875
607.0,0.0054456636644648684,1337.0,6.0,1299.0,8.0,17397.0,-840287.68875
748.0,0.048790782228985925,389.0,2.0,840.0,7.0,228236.0,-19886272.0
307.0,0.043854030480360025,1478.0,9.0,933.0,5.0,419874.0,-6892269056.0
529.0,0.012460573038283873,1381.0,6.0,1172.0,2.0,621279.0,-5674943.0
804.0,0.03482953031467455,1460.0,2.0,1464.0,10.0,651635.0,-2359975936.0
443.0,0.03600102747240323,610.0,4.0,1395.0,3.0,456151.0,-213949.698828125
584.0,0.006911699565096267,307.0,8.0,622.0,10.0,688142.0,-38975.46875
119.0,0.032034392875822056,934.0,2.0,375.0,1.0,218158.0,-14526.70142578125
814.0,0.016519586596533947,525.0,4.0,1222.0,8.0,803604.0,-2923608.25
620.0,0.009829254173066758,1136.0,8.0,521.0,9.0,696525.0,-2574484.5
273.0,0.033231806243839535,541.0,9.0,726.0,3.0,869418.0,-6771711.0
