batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
859.0,0.0059741576579729,1099.0,6.0,816.0,2.0,-0.0041666840715333
923.0,0.0060961290489929,44.0,2.0,1056.0,9.0,-1.8371922373771667
420.0,0.0003518621808922,254.0,5.0,164.0,8.0,-0.0024543894128873
907.0,0.0036475604490904,858.0,8.0,531.0,2.0,-0.0030308312794659
977.0,0.0066016775314037,1481.0,8.0,442.0,3.0,-95663.9140625
240.0,0.0067396936114668,441.0,4.0,1256.0,2.0,-0.0060374210309237
725.0,0.0048447826670667,1203.0,5.0,337.0,8.0,-0.0032335655158385
336.0,0.0078207860396535,1464.0,8.0,208.0,6.0,-488995.78125
742.0,0.0030254640567562,40.0,2.0,992.0,6.0,-0.0020565208257175
564.0,0.0062485131112978,991.0,7.0,1361.0,10.0,-114643.4453125
956.0,0.0059400245247926,1426.0,10.0,766.0,2.0,-69011.53125
477.0,0.006558366483664,263.0,6.0,97.0,4.0,-0.0022490598878357
65.0,0.0016204109512516,142.0,1.0,609.0,9.0,-0.0073065315559506
164.0,0.007282769837491,1173.0,2.0,479.0,1.0,-0.0079429108370095
994.0,0.0048232085767969,507.0,10.0,640.0,1.0,-0.002565146429697
983.0,0.0012961778062139,1477.0,9.0,947.0,5.0,-0.0013369927962776
113.0,0.0065978119201618,181.0,9.0,1279.0,4.0,-0.0164140890724957
304.0,0.0012592336827301,773.0,5.0,1201.0,5.0,-0.0020464477874338
208.0,0.0079820002445824,596.0,6.0,929.0,9.0,-21969.162109375
472.0,0.008749529328729,609.0,5.0,98.0,1.0,-0.0049471521703526
902.0,0.0064231255811488,443.0,7.0,76.0,10.0,-0.0018969371402636
797.0,0.0074913262385989,754.0,6.0,864.0,9.0,-1265.6109619140625
140.0,0.0005007406384482,121.0,3.0,819.0,2.0,-0.003503883308731
391.0,0.0028350856409485,1326.0,9.0,1148.0,1.0,-0.0138258040882647
936.0,0.0066878757924074,625.0,2.0,139.0,7.0,-0.0011696362670045
273.0,0.007219533557288,1259.0,2.0,291.0,7.0,-0.0075869281450286
588.0,0.0084319150115787,1373.0,10.0,1123.0,1.0,-2482055.25
755.0,0.0069527274292008,864.0,9.0,661.0,9.0,-1983.6513671875
198.0,0.006449150538416,1487.0,8.0,237.0,9.0,-35907.08984375
459.0,0.0054833123349858,845.0,3.0,209.0,4.0,-0.0021255670499522
323.0,0.0039290925738572,1107.0,2.0,337.0,8.0,-0.0024511483917012
251.0,0.0040842225590164,450.0,3.0,668.0,6.0,-0.0032611994142644
813.0,0.001758366205863,209.0,9.0,1362.0,8.0,-0.0245292696217074
962.0,0.0059718231401642,494.0,3.0,87.0,5.0,-0.0012054186913883
268.0,0.0076982821988963,191.0,9.0,1092.0,9.0,-17663.755859375
809.0,0.0014826548637276,188.0,2.0,883.0,7.0,-0.001640537509229
742.0,0.0024624330040411,407.0,7.0,1191.0,7.0,-0.0023598106554709
678.0,0.0005341913212607,906.0,3.0,791.0,3.0,-0.0010875623644096
657.0,0.0026692110735038,1433.0,2.0,397.0,1.0,-0.0011116111662704
169.0,0.0071752094810534,518.0,4.0,37.0,6.0,-0.0066469329455867
80.0,0.0061044161375389,448.0,6.0,966.0,4.0,-0.0106787490099668
502.0,0.0043481393539027,1309.0,8.0,1384.0,9.0,-1022.2470092773438
527.0,0.0011341437933042,916.0,2.0,989.0,10.0,-0.0014526681939605
964.0,0.0066148097898773,1047.0,6.0,558.0,2.0,-0.0044213521899655
593.0,0.0088674226507128,725.0,5.0,1046.0,5.0,-0.0442519195005297
