batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,value
415.0,0.008070070438495348,1467.0,5.0,738.0,10.0,-4934.70458984375
334.0,0.002265945190182756,994.0,2.0,565.0,6.0,-0.001962161430856213
216.0,0.008936676950715072,708.0,1.0,1116.0,6.0,-0.15125367388129235
681.0,0.0033912432639523946,383.0,9.0,647.0,6.0,-0.0018728770385496318
610.0,0.002970678057164465,260.0,8.0,1249.0,2.0,-0.001828651363030076
433.0,0.008191382984853817,1367.0,2.0,899.0,4.0,-0.005990148214623332
200.0,0.004576130277605194,482.0,8.0,1067.0,10.0,-261.79998779296875
430.0,0.0034110148454813954,174.0,2.0,1134.0,2.0,-0.0015918130346108228
727.0,0.00726931314109658,925.0,7.0,340.0,4.0,-0.011026498284190894
928.0,0.0014511264227070693,1231.0,10.0,1260.0,9.0,-0.0018361360242124646
692.0,0.005337461146797836,779.0,8.0,190.0,3.0,-0.003856482158880681
143.0,0.005702741477380753,1250.0,6.0,471.0,1.0,-0.024565496798604727
853.0,0.007407894290112294,1126.0,8.0,1420.0,3.0,-10651.5322265625
958.0,0.008023971985020287,220.0,1.0,689.0,7.0,-0.006563422649633139
848.0,0.00643352312942725,667.0,8.0,1062.0,4.0,-0.008326420783996582
578.0,0.001507116911748263,1499.0,10.0,1314.0,3.0,-0.005667716911993921
73.0,0.007969984690438095,546.0,2.0,363.0,5.0,-0.01448252378962934
76.0,0.0015359187755374774,376.0,2.0,523.0,7.0,-0.005623311004601419
497.0,0.0015670978178503388,506.0,9.0,781.0,9.0,-0.0019077279965858908
235.0,0.00577580419793507,1106.0,2.0,1322.0,3.0,-0.006152438470162451
681.0,0.009924567338598408,313.0,4.0,610.0,7.0,-0.013284054351970553
215.0,0.0010868277976787196,1324.0,4.0,1435.0,4.0,-0.0025760854850523174
869.0,0.006317446165042285,559.0,1.0,183.0,10.0,-0.0012072930863359943
710.0,0.009704624769376448,77.0,4.0,520.0,10.0,-0.026104997433722018
192.0,0.00557622896397768,88.0,7.0,883.0,3.0,-0.005072022872045636
934.0,0.0085754734079162,267.0,2.0,62.0,5.0,-0.0013851914391852915
780.0,0.002045877098840297,1050.0,7.0,127.0,7.0,-0.0014841535314917564
941.0,0.009534331386689859,169.0,10.0,27.0,8.0,-0.002064751685829833
699.0,0.0007056628881662609,1470.0,7.0,624.0,3.0,-0.00228887727484107
141.0,0.00788148556559303,583.0,4.0,648.0,9.0,-46.85153770446777
890.0,0.005617028315394947,932.0,9.0,1424.0,9.0,-45679.34765625
235.0,0.006313126048304411,1462.0,6.0,1349.0,3.0,-0.111535589620471
126.0,0.008950374925286718,179.0,10.0,1248.0,6.0,-647.5723876953125
682.0,0.0030015437453354715,435.0,1.0,1466.0,6.0,-0.0021984586189500986
995.0,0.009500110310051903,865.0,6.0,1065.0,3.0,-0.23126392260193826
868.0,0.00854168754746435,1490.0,3.0,795.0,1.0,-0.006458739363588393
276.0,0.006614180986159252,1214.0,2.0,356.0,10.0,-0.004564202120527625
658.0,0.005249457144651988,1111.0,9.0,222.0,4.0,-0.013866921244189144
153.0,0.008462133290133,364.0,2.0,898.0,2.0,-0.0067616738611832265
797.0,0.007844666604124929,138.0,3.0,264.0,5.0,-0.0015062169474549592
314.0,0.002427725899215894,1043.0,1.0,607.0,4.0,-0.001954840717371553
70.0,0.008010105373153192,910.0,4.0,435.0,9.0,-0.025935220010578634
898.0,0.009585942102737928,996.0,1.0,569.0,1.0,-0.0009685867110965774
105.0,0.006794595379271691,893.0,10.0,1040.0,3.0,-3067.471435546875
734.0,0.00697812862861115,1206.0,6.0,1449.0,4.0,-0.18037844881415366
843.0,0.007306634595900108,1452.0,6.0,1091.0,6.0,-1.26796701669693
373.0,0.002700530199002492,1114.0,5.0,828.0,6.0,-0.006765062767080963
900.0,0.004708426554582315,1495.0,5.0,873.0,6.0,-0.010375399957410991
473.0,0.002130597817171456,601.0,7.0,394.0,8.0,-0.0018343512481078506
904.0,0.008279939597508936,345.0,2.0,1439.0,2.0,-0.002504217845853418
319.0,0.004891081642197452,320.0,8.0,820.0,6.0,-0.005333373323082924
479.0,0.008472162562832026,1236.0,10.0,1253.0,9.0,-1460801.375
998.0,0.0053527216595462635,47.0,8.0,1439.0,2.0,-0.0021744400879833846
392.0,0.00565544357668625,1113.0,8.0,1260.0,5.0,-0.23421818763017654
205.0,0.0019905482267246945,1275.0,4.0,71.0,6.0,-0.004192747969646007
820.0,0.007191027223005005,172.0,2.0,1247.0,7.0,-5238.478515625
441.0,0.0023407992235123095,259.0,7.0,159.0,4.0,-0.001885769705986604
482.0,0.0074837059586050775,312.0,1.0,1386.0,7.0,-1.0458553063869476
715.0,0.009490978494332189,1195.0,4.0,1314.0,4.0,-0.06849658239632844
651.0,0.007406448662991413,281.0,8.0,95.0,6.0,-0.0019292635470628738
195.0,7.732981849824357e-05,422.0,3.0,967.0,5.0,-0.0027194245532155036
586.0,0.002103791284580091,151.0,5.0,1000.0,8.0,-0.002109584707068279
374.0,0.005441852202650101,1379.0,3.0,1390.0,5.0,-0.013280848478898407
429.0,0.0005904889252095289,1396.0,2.0,1077.0,2.0,-0.001450109629658982
1000.0,0.007124527132721095,837.0,5.0,1124.0,4.0,-0.008108878466300666
988.0,0.009555286692383745,659.0,2.0,957.0,2.0,-0.0018569136818405241
755.0,0.009744912621614667,672.0,2.0,426.0,3.0,-0.001882446970557794
171.0,0.0011431696343808054,594.0,5.0,397.0,4.0,-0.003164455723017454
285.0,0.007551208482740786,864.0,9.0,976.0,6.0,-4048.945556640625
63.0,0.0007470403299883483,866.0,9.0,199.0,7.0,-0.007153890505433083
871.0,0.005169741958460578,1337.0,2.0,496.0,5.0,-0.0014270755427423865
838.0,0.009228246806210474,728.0,7.0,1346.0,10.0,-24408490.0
246.0,0.0037142700564158733,87.0,6.0,25.0,6.0,-0.005134437321685254
486.0,0.004111584273528106,97.0,7.0,464.0,2.0,-0.0020638873719144614
877.0,0.0021322068832031684,985.0,6.0,261.0,3.0,-0.004903497220948338
451.0,0.007817933514989142,224.0,10.0,1273.0,9.0,-54648.29296875
888.0,0.001963148526778666,555.0,7.0,1256.0,7.0,-0.0012506742309778929
599.0,0.008809950011404126,353.0,2.0,218.0,7.0,-0.0017178151570260525
422.0,0.009029007515606457,1394.0,4.0,1358.0,4.0,-0.054546780809760095
270.0,0.00697707971372732,150.0,8.0,937.0,2.0,-0.005074849789962172
535.0,0.0013816798314633587,854.0,8.0,66.0,9.0,-0.0020914360973984004
622.0,0.009312033190060064,978.0,8.0,735.0,9.0,-13577.5771484375
584.0,0.0026418567367601465,744.0,1.0,882.0,4.0,-0.0012787845474667846
584.0,0.009246273762123003,584.0,7.0,60.0,5.0,-0.004591908229049296
167.0,0.0035402253900787993,167.0,5.0,210.0,2.0,-0.003615422695875168
552.0,0.003917696288658832,117.0,9.0,1346.0,4.0,-0.003009548126719892
942.0,0.007109945065618224,352.0,5.0,551.0,4.0,-0.00160399651969783
313.0,0.004809947779680938,1271.0,3.0,895.0,9.0,-0.007490228055976331
806.0,0.006498521567580699,522.0,9.0,1284.0,2.0,-0.0041171089885756375
152.0,0.007030120232344549,325.0,8.0,1138.0,5.0,-0.01584984249435365
988.0,0.001086524644880087,706.0,3.0,800.0,2.0,-0.0008302569901570678
311.0,0.0037253870888870663,1252.0,9.0,340.0,5.0,-0.014406637456268072
485.0,0.009330708677109322,1242.0,1.0,559.0,3.0,-0.002650513963308185
951.0,0.008125597402870277,1217.0,2.0,1450.0,5.0,-1.0536811834573745
616.0,0.003392083771689993,689.0,7.0,47.0,3.0,-0.002200545503292233
687.0,0.00853206291829225,958.0,7.0,799.0,4.0,-0.2885306683182716
428.0,0.006198109264549347,674.0,5.0,1036.0,3.0,-0.004735176260583103
998.0,0.009785430788140368,903.0,5.0,879.0,8.0,-7913.41943359375
781.0,0.003187132424501978,923.0,1.0,466.0,6.0,-0.0013604894862510263
624.0,0.007518301495087189,295.0,5.0,42.0,8.0,-0.001867738930741325
293.0,0.003949185779662261,224.0,5.0,713.0,9.0,-0.00560796806588769
911.0,0.0009876315984715673,617.0,1.0,1046.0,5.0,-0.0008736754267010837
940.0,0.001930243342572562,1205.0,3.0,1294.0,9.0,-0.001133062943117693
697.0,0.001213947116342353,456.0,9.0,1007.0,9.0,-0.0013473091612104327
71.0,0.00938350793861659,643.0,3.0,950.0,1.0,-0.01625595150515437
888.0,0.006008528783196867,904.0,3.0,355.0,3.0,-0.0016462184418924153
470.0,0.009210841867397438,296.0,3.0,740.0,6.0,-0.007520803506486118
805.0,0.005507384832136844,1091.0,6.0,48.0,3.0,-0.0036740396032109855
162.0,0.0032085708884056516,38.0,9.0,1262.0,1.0,-0.007938501364551485
228.0,0.008827445732272189,1055.0,8.0,607.0,8.0,-13173.9951171875
909.0,0.006820058765580753,710.0,8.0,936.0,5.0,-19.462097039073704
119.0,0.003379362566540365,703.0,4.0,603.0,7.0,-0.005251518348231911
122.0,0.0016438293894953232,847.0,8.0,313.0,5.0,-0.005049370275810361
442.0,0.007551302292595938,200.0,4.0,886.0,4.0,-0.003204951526131481
179.0,0.002483825462642293,1346.0,4.0,474.0,4.0,-0.0030961951380595563
484.0,0.00046725768814447966,367.0,7.0,1007.0,9.0,-0.0015701830887701362
833.0,0.00626048005435123,653.0,10.0,441.0,2.0,-0.012490095105022192
383.0,0.009529397267165429,781.0,7.0,1483.0,5.0,-11136.033203125
465.0,0.00048068386653245265,699.0,6.0,131.0,7.0,-0.0026361367292702196
789.0,0.0052416705615701,203.0,3.0,357.0,5.0,-0.001501329824095592
501.0,0.0060386131523703455,545.0,3.0,989.0,5.0,-0.002821204434148967
148.0,0.008006017620667131,527.0,8.0,855.0,6.0,-0.01725287327542901
201.0,0.0009455057640916551,944.0,5.0,69.0,4.0,-0.003973282286897302
625.0,0.009803615702571204,747.0,2.0,1415.0,8.0,-471262.09375
891.0,0.0028054373761367763,258.0,4.0,1416.0,2.0,-0.001046824567602016
806.0,0.009846755460927554,252.0,3.0,85.0,5.0,-0.0023355065181385726
364.0,0.005397137416516561,1366.0,9.0,1415.0,2.0,-12632.2431640625
664.0,0.0017688737644252868,901.0,3.0,291.0,8.0,-0.0013010870735161006
828.0,0.0003709015094130777,799.0,8.0,44.0,1.0,-0.002177184903994203
602.0,0.001621295820554106,1270.0,4.0,295.0,5.0,-0.0014522925915662198
150.0,0.0003786132469355003,1011.0,3.0,299.0,6.0,-0.00323694619582966
612.0,0.003503500086394604,566.0,9.0,148.0,8.0,-0.001972104483284056
845.0,0.009376584877634025,107.0,6.0,1051.0,7.0,-17019.8828125
90.0,0.006755548492102034,877.0,5.0,878.0,5.0,-0.022515639159828425
422.0,0.007204418101747827,114.0,6.0,656.0,1.0,-0.0027167065953835846
732.0,0.0039060351530212567,443.0,4.0,177.0,3.0,-0.0012235667870845646
171.0,0.008630239064011823,1197.0,7.0,1230.0,9.0,-67365.5390625
699.0,0.0013291594415949283,689.0,8.0,1144.0,4.0,-0.0022880697075743227
191.0,0.002782127342501343,885.0,3.0,893.0,5.0,-0.003062619308475405
770.0,0.00904464162691635,312.0,2.0,1212.0,2.0,-0.002058121553855017
347.0,0.0035425133053493237,1196.0,8.0,449.0,3.0,-0.011138087175786494
423.0,0.009286616100123808,346.0,2.0,371.0,5.0,-0.0035075182933360337
347.0,0.0027131622664753967,1449.0,9.0,105.0,4.0,-0.007238063518889249
341.0,0.007704315043212854,923.0,7.0,1234.0,7.0,-4869.923828125
896.0,0.008641757509626263,520.0,3.0,1265.0,2.0,-0.0026456272520590574
812.0,0.009589728161785004,54.0,5.0,719.0,9.0,-10232.34375
57.0,0.00981362803841465,1126.0,6.0,89.0,6.0,-2181.3427734375
762.0,0.003091452866696265,218.0,6.0,775.0,7.0,-0.0015047011384740471
