batch_size,lr,num_neurons_pos,num_hidden_layers_pos,num_neurons_neg,num_hidden_layers_neg,pnorm_order,lagrange_smalltozero,lagrange_pnorm,lagrange_base,lagrange_important_sigs,value
500.0,0.00014729768913138527,50.0,6.0,1200.0,6.0,8.0,1.245904388459347,55070.37825261664,0.3474891443416989,0.715593925676705,-0.2116655558347702
194.0,1e-05,370.0,5.0,1008.0,3.0,8.0,2.5974751027572167,56250.61606055171,0.11892427848342461,0.8375056618291762,-0.11897866502404213
127.0,0.0006570901478763147,109.0,2.0,1104.0,3.0,7.0,1.0108722725263977,45371.14294414189,0.3616877261092657,0.2060723434003697,-0.05633217189460993
322.0,0.0004568041908573624,1146.0,4.0,945.0,2.0,6.0,9.829852902128849,45101.01140160567,0.7885772482107647,0.680707898062436,-0.1214099146425724
316.0,0.000951449329863377,842.0,5.0,890.0,5.0,6.0,2.0348103787178333,44199.56336980035,0.3811489870720136,0.47457959998541177,-0.09763001091778278
218.0,0.00022020138613273557,1006.0,1.0,1058.0,1.0,8.0,3.2523498280853484,51967.77350605127,0.01,0.13675839091504285,-1.0213294804096222
172.0,0.0002549849783104338,197.0,3.0,1200.0,1.0,8.0,6.7755779137712135,8493.85758207406,0.01,0.01,-1.0064996659755707
20.0,1e-05,521.0,5.0,412.0,4.0,7.0,1.9586884662070922,62194.63799853261,0.1408757344291393,0.748716705740163,-0.022864177264273165
38.0,1e-05,165.0,4.0,50.0,5.0,8.0,1.5559910204700325,61312.44366460245,0.1295459595538279,0.3183624868727907,-1.0545689821243287
311.0,1e-05,142.0,6.0,590.0,4.0,8.0,2.407800492002787,40925.8729042683,0.01,0.554526388160754,-1.1256820678710937
135.0,7.305233184751663e-05,246.0,3.0,1079.0,3.0,7.0,3.5052603133962137,53885.903452315244,0.24978865320361215,0.6906527907198193,-0.0674484685063362
473.0,1e-05,474.0,5.0,386.0,2.0,4.0,8.20331192780269,17241.99728673442,1.0,0.5230477271991862,-0.33885260075330736
223.0,1e-05,50.0,3.0,670.0,2.0,6.0,7.185148264054491,89606.06164641323,1.0,0.7617364638246175,-1.0730892598628998
500.0,0.001,461.0,1.0,491.0,6.0,8.0,10.0,10867.364440425907,0.39492722042125117,0.1972468816575155,-0.12128014303743839
407.0,0.0009977915193643586,50.0,4.0,435.0,2.0,8.0,4.661752068775618,25286.338885593734,0.4413149620408521,0.01,-0.15621754080057143
183.0,0.00040314721702843496,76.0,3.0,357.0,1.0,6.0,9.474134583042284,77292.70605819536,0.19343961250703617,0.3837039445184065,-0.07371433787047862
27.0,0.0002401271546379919,154.0,3.0,715.0,3.0,5.0,4.499590245339948,59450.0595177078,0.4516646435776824,0.3156807765196656,-0.023103279527276754
379.0,1e-05,316.0,4.0,584.0,2.0,3.0,4.718494564951599,74732.32876696398,0.478427099043561,0.43634967568476873,-0.21487803012132645
