batch_size,lr,num_units,num_hidden_layers,value
475.0,0.0009673387344267,474.0,1.0,-0.9988013088703156
624.0,0.003187387904436,951.0,4.0,-8.058518409729004
513.0,0.0047257146017063,1327.0,6.0,-8.203167915344238
252.0,0.0005300518625461,618.0,6.0,-3.8651982021331786
605.0,0.0002802760560372,1169.0,2.0,-1.446376131772995
408.0,0.0049215483313612,300.0,3.0,-1.3596009194850922
310.0,0.0029182782628794,737.0,9.0,-8.054749806722006
215.0,0.0030344145765997,1101.0,6.0,-4.743358612060547
106.0,0.0013518393111545,1248.0,2.0,-0.6105999273061752
516.0,0.0032282299991809,1071.0,7.0,-8.06627607345581
297.0,0.0032873990764326,453.0,3.0,-1.14378103017807
213.0,0.0002546279251084,1158.0,8.0,-4.106670475006103
124.0,0.0012513528772992,259.0,5.0,-2.5729899406433105
908.0,0.0031162369053416,1332.0,3.0,-7.881515979766846
702.0,0.0002133034800732,63.0,9.0,-7.752606391906738
686.0,0.0046027234314081,933.0,4.0,-7.926613998413086
239.0,0.0032282142464097,144.0,5.0,-2.9660154938697816
817.0,0.004015197332967,782.0,2.0,-0.6656607741117477
373.0,0.0006123155301115,933.0,6.0,-3.090257987976074
748.0,0.0046227953841325,470.0,6.0,-8.055367729880594
295.0,0.0010237728172797,1310.0,2.0,-0.5763360881805419
899.0,0.0032051838210157,827.0,6.0,-8.055870056152344
116.0,0.0016859668794368,322.0,3.0,-1.3325887751579284
590.0,0.0015626988381239,568.0,9.0,-8.04715347290039
99.0,0.0005214495866336,236.0,6.0,-4.893322396278381
849.0,0.0023273773176787,687.0,10.0,-8.051724281311035
61.0,0.0031398031156463,279.0,7.0,-5.736023089464973
301.0,0.0022532466459157,1191.0,5.0,-1.1478121960163117
798.0,0.0046138233418969,113.0,5.0,-4.442645711898804
700.0,0.0006066912962532,1036.0,4.0,-1.5433668565750125
220.0,0.0044504302810669,37.0,9.0,-6.6239262247085575
577.0,0.000453674274481,665.0,1.0,-1.615834895372391
295.0,0.0001419988777813,1395.0,6.0,-3.0258700323104857
450.0,0.0009812907054087,1478.0,6.0,-4.779601488113404
925.0,0.0031754441812688,1473.0,2.0,-0.6229454326629639
413.0,0.0014379260003135,1237.0,7.0,-8.052432928085327
879.0,0.0001155661451339,1122.0,10.0,-7.120157513618469
175.0,0.0033311118625886,222.0,7.0,-3.612747831344605
423.0,0.0040560255436445,65.0,5.0,-4.754936213493347
874.0,0.0043103410658449,723.0,3.0,-0.9178666967153548
775.0,0.0005479090255204,1009.0,7.0,-7.345452136993408
882.0,0.000753673471315,273.0,3.0,-3.157913990020752
259.0,0.0025127237149542,409.0,3.0,-1.1875409758090971
741.0,0.0047360580718988,508.0,2.0,-0.738517826795578
696.0,0.0031605482652578,816.0,9.0,-8.007081985473633
528.0,0.00053306972716,413.0,1.0,-1.8547350943088527
769.0,0.0036374278904081,853.0,4.0,-1.1608169567584992
518.0,0.0005493951239458,84.0,2.0,-4.450953931808471
109.0,0.0009921023529751,1091.0,8.0,-8.052617850127044
731.0,0.0049147979431316,605.0,5.0,-8.014848709106445
448.0,0.0006437796871747,1476.0,3.0,-0.74130719602108
995.0,0.0020485359181212,1429.0,5.0,-7.67774486541748
129.0,0.0009479134513649,450.0,6.0,-2.197559220790863
652.0,0.0027154417343322,1381.0,6.0,-7.955866813659668
212.0,0.0005645743279007,140.0,1.0,-2.264168939590454
153.0,0.0015320499231216,1306.0,6.0,-8.055944578988212
475.0,0.0037905837686637,118.0,1.0,-1.2667744946479798
77.0,0.0027138629153942,191.0,3.0,-1.8184973442554475
631.0,0.0035164531402542,397.0,4.0,-1.82319041967392
437.0,0.0042998150184257,1176.0,4.0,-8.040794372558594
310.0,0.003042243693214,670.0,8.0,-8.055311838785807
588.0,0.004319782475854,1301.0,1.0,-0.5297770291566849
232.0,0.0011210380447809,926.0,7.0,-2.960475878715515
66.0,0.0032293028640723,966.0,4.0,-7.735411167144775
884.0,0.0016566222887331,683.0,6.0,-5.628550124168396
881.0,0.0005337202327619,428.0,3.0,-2.6393627667427064
511.0,0.0011051726918986,989.0,7.0,-5.048765430450439
564.0,0.0022491841606844,1327.0,5.0,-8.05695629119873
757.0,0.0018472548497988,49.0,2.0,-4.435269331932068
231.0,0.0028600382369324,785.0,3.0,-0.9036709684133528
909.0,0.0025539938685746,968.0,4.0,-1.4882643258571624
967.0,0.0028282184781739,179.0,10.0,-7.540004472732544
473.0,0.0010396592604375,1207.0,8.0,-7.609287897745768
386.0,0.0001759650820072,1024.0,1.0,-1.8354434752464293
775.0,0.0002605811694048,59.0,8.0,-7.767281789779663
319.0,0.0029750087178258,654.0,9.0,-8.032099723815918
997.0,0.0008771242953259,242.0,9.0,-7.47995274066925
309.0,0.0039559790695186,1496.0,10.0,-8.110580444335938
151.0,0.0047961697761673,556.0,9.0,-8.062225341796875
740.0,0.0030328641699187,51.0,5.0,-6.275324268341064
762.0,0.0017291294203834,741.0,1.0,-0.6837022125720977
746.0,0.0042139140779752,204.0,8.0,-8.040511112213135
635.0,0.0016700327063138,1113.0,7.0,-8.052031585148402
215.0,0.0005264547385395,49.0,8.0,-7.252551522254944
757.0,0.002027523642089,242.0,4.0,-3.015061149597168
